rank,team,mean_position,f1_0.5,f1_0.5_position,f1_0.6,f1_0.6_position,f1_0.7,f1_0.7_position,f1_0.8,f1_0.8_position,f1_0.9,f1_0.9_position
1,junma,1.4,0.877,1.0,0.8464,1.0,0.8051,1.0,0.7048,1.0,0.3901,3.0
2,carsenstringer,2.2,0.8612,3.0,0.8346,3.0,0.7976,2.0,0.7013,2.0,0.4116,1.0
3,carsenstringer,3.6,0.8484,5.0,0.819,5.0,0.7761,3.0,0.6744,3.0,0.3907,2.0
4,marksm,4.2,0.8723,2.0,0.8358,2.0,0.7748,4.0,0.6325,5.0,0.2902,8.0
5,marksm,4.2,0.8511,4.0,0.8215,4.0,0.7682,5.0,0.6425,4.0,0.3123,4.0
6,marius10p,5.8,0.8299,6.0,0.793,6.0,0.7413,6.0,0.6283,6.0,0.3109,5.0
7,CaiqingJian,5.8,0.8299,6.0,0.793,6.0,0.7413,6.0,0.6283,6.0,0.3109,5.0
8,marius10p,7.8,0.8263,8.0,0.7903,8.0,0.7371,8.0,0.6063,8.0,0.2911,7.0
9,jiahaochen,9.0,0.6878,9.0,0.6413,9.0,0.5859,9.0,0.4804,9.0,0.2331,9.0
10,jiahaochen,9.0,0.6878,9.0,0.6413,9.0,0.5859,9.0,0.4804,9.0,0.2331,9.0
