rank,team,mean_position,dsc,dsc_position,msd,msd_position,hd95,hd95_position,masd,masd_position,rmse,rmse_position
1,MIC-DKFZ,1.6,0.5289,1.0,0.6999,1.0,23.011,1.0,5.1319,1.0,17163.5753,4.0
2,BreizhSeg,2.4,0.491,2.0,0.6736,2.0,25.2634,4.0,6.1722,2.0,16714.9043,2.0
3,LiboZhang,2.4,0.4814,3.0,0.6507,3.0,24.0864,2.0,7.6881,3.0,16647.2197,1.0
4,amparobt9,3.6,0.4784,4.0,0.6457,4.0,24.1735,3.0,8.1224,4.0,16846.291,3.0
5,PolySmart,5.6,0.4385,7.0,0.624,6.0,26.1767,5.0,9.1115,5.0,17540.7194,5.0
6,Blue Devils,6.6,0.4282,8.0,0.6112,7.0,30.1731,6.0,10.0835,6.0,19125.2392,6.0
7,neuro,6.8,0.4656,5.0,0.6363,5.0,53.0082,8.0,38.3868,9.0,19692.7241,7.0
8,Prompted Panther,7.2,0.4444,6.0,0.6043,8.0,37.743,7.0,10.7798,7.0,20435.333,8.0
9,Ctrl+Alt+Del Tumors,9.0,0.1836,9.0,0.4257,9.0,83.3701,9.0,15.6462,8.0,67374.4813,10.0
10,SpaceCY,9.8,0.0,10.0,0.0149,10.0,535.2927,10.0,509.8555,10.0,32656.5506,9.0
