rank,team,mean_position,dice,dice_position,cldice,cldice_position,b0_error,b0_error_position,hd95,hd95_position,f1_grp2,f1_grp2_position,anterior_graph_acc,anterior_graph_acc_position,posterior_graph_acc,posterior_graph_acc_position,anterior_topology,anterior_topology_position,posterior_topology,posterior_topology_position
1,CLAIM,1.78,0.88,4.0,0.99,1.0,0.05,2.0,1.5,1.0,0.92,1.0,0.89,2.0,0.77,2.0,0.6,1.0,0.6,2.0
2,Organizers UZH,2.0,0.89,1.0,0.99,1.0,0.03,1.0,2.6,5.0,0.92,1.0,0.82,6.0,0.83,1.0,0.6,1.0,0.71,1.0
3,Organizers HITSZ,2.67,0.89,1.0,0.99,1.0,0.09,4.0,2.46,2.0,0.9,4.0,0.86,3.0,0.71,3.0,0.53,3.0,0.53,3.0
4,IMR,4.44,0.88,4.0,0.98,9.0,0.09,4.0,2.57,4.0,0.91,3.0,0.91,1.0,0.69,6.0,0.52,4.0,0.49,5.0
5,Organizers DKFZ,4.56,0.89,1.0,0.99,1.0,0.1,6.0,2.48,3.0,0.86,6.0,0.84,5.0,0.64,8.0,0.49,5.0,0.42,6.0
6,ARG,5.0,0.88,4.0,0.99,1.0,0.12,7.0,3.72,6.0,0.87,5.0,0.86,3.0,0.66,7.0,0.41,6.0,0.42,6.0
7,NIC-VICOROB,5.67,0.8,8.0,0.99,1.0,0.08,3.0,6.4,8.0,0.77,8.0,0.61,9.0,0.71,3.0,0.36,7.0,0.5,4.0
8,DeepLearnAI,6.67,0.83,7.0,0.99,1.0,0.18,8.0,5.4,7.0,0.67,9.0,0.67,8.0,0.71,3.0,0.29,8.0,0.36,9.0
9,pamaad,7.56,0.78,9.0,0.99,1.0,0.19,9.0,7.54,9.0,0.78,7.0,0.71,7.0,0.62,9.0,0.28,9.0,0.39,8.0
10,junqiangchen,9.89,0.77,10.0,0.98,9.0,0.33,10.0,8.67,10.0,0.5,10.0,0.49,10.0,0.44,10.0,0.08,10.0,0.07,10.0
