rank,team,mean_position,lncc,lncc_position,ssim,ssim_position,psnr,psnr_position
1,POAS,1.33,0.908,1.0,0.7439,2.0,30.7268,1.0
2,NCIA,1.67,0.9065,2.0,0.7576,1.0,30.4643,2.0
3,imed_8,5.33,0.9012,8.0,0.7407,3.0,29.5355,5.0
4,TJ_ilab,5.33,0.9027,4.0,0.7361,9.0,29.6042,3.0
5,StovePoker,5.67,0.9028,3.0,0.7284,10.0,29.555,4.0
6,lzq6573891885,6.0,0.9012,8.0,0.7395,4.0,29.5173,6.0
7,1Bit,6.33,0.9015,6.0,0.7388,5.0,29.0308,8.0
8,1Bit,6.33,0.9015,6.0,0.7388,5.0,29.0308,8.0
9,MIIA,7.67,0.9023,5.0,0.7371,8.0,28.9083,10.0
10,SUStech,8.0,0.9007,10.0,0.7382,7.0,29.3614,7.0
